"symbol","exchange","sector","industry"
"HONAUT","NSE","Capital Goods","Capital Goods"
"HUDCO","NSE","Financial Services","Financial Services"
"HYUNDAI","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ICICIBANK","NSE","Financial Services","Financial Services"
"ICICIGI","NSE","Financial Services","Financial Services"
"ICICIAMC","NSE","Financial Services","Financial Services"
"ICICIPRULI","NSE","Financial Services","Financial Services"
"IDBI","NSE","Financial Services","Financial Services"
"IDFCFIRSTB","NSE","Financial Services","Financial Services"
"IFCI","NSE","Financial Services","Financial Services"
"IIFL","NSE","Financial Services","Financial Services"
"IRB","NSE","Construction","Construction"
"IRCON","NSE","Construction","Construction"
"ITCHOTELS","NSE","Consumer Services","Consumer Services"
"ITC","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"ITI","NSE","Telecommunication","Telecommunication"
"INDGN","NSE","Healthcare","Healthcare"
"INDIACEM","NSE","Construction Materials","Construction Materials"
"INDIAMART","NSE","Consumer Services","Consumer Services"
"INDIANB","NSE","Financial Services","Financial Services"
"IEX","NSE","Financial Services","Financial Services"
"INDHOTEL","NSE","Consumer Services","Consumer Services"
"IOC","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"IOB","NSE","Financial Services","Financial Services"
"IRCTC","NSE","Consumer Services","Consumer Services"
"IRFC","NSE","Financial Services","Financial Services"
"IREDA","NSE","Financial Services","Financial Services"
"IGL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"INDUSTOWER","NSE","Telecommunication","Telecommunication"
"INDUSINDBK","NSE","Financial Services","Financial Services"
"NAUKRI","NSE","Consumer Services","Consumer Services"
"INFY","NSE","Information Technology","Information Technology"
"INOXWIND","NSE","Capital Goods","Capital Goods"
"INTELLECT","NSE","Information Technology","Information Technology"
"INDIGO","NSE","Services","Services"
"IGIL","NSE","Services","Services"
"IKS","NSE","Information Technology","Information Technology"
"IPCALAB","NSE","Healthcare","Healthcare"
"JBCHEPHARM","NSE","Healthcare","Healthcare"
"JKCEMENT","NSE","Construction Materials","Construction Materials"
"JBMA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"JKTYRE","NSE","Automobile and Auto Components","Automobile and Auto Components"
"JMFINANCIL","NSE","Financial Services","Financial Services"
"JSWCEMENT","NSE","Construction Materials","Construction Materials"
"JSWENERGY","NSE","Power","Power"
"JSWINFRA","NSE","Services","Services"
"JSWSTEEL","NSE","Metals & Mining","Metals & Mining"
"JAINREC","NSE","Metals & Mining","Metals & Mining"
"JPPOWER","NSE","Power","Power"
"J&KBANK","NSE","Financial Services","Financial Services"
"JINDALSAW","NSE","Capital Goods","Capital Goods"
"JSL","NSE","Metals & Mining","Metals & Mining"
"JINDALSTEL","NSE","Metals & Mining","Metals & Mining"
"JIOFIN","NSE","Financial Services","Financial Services"
"JUBLFOOD","NSE","Consumer Services","Consumer Services"
"JUBLINGREA","NSE","Chemicals","Chemicals"
"JUBLPHARMA","NSE","Healthcare","Healthcare"
"JWL","NSE","Capital Goods","Capital Goods"
"JYOTICNC","NSE","Capital Goods","Capital Goods"
"KPRMILL","NSE","Textiles","Textiles"
"KEI","NSE","Capital Goods","Capital Goods"
"KPITTECH","NSE","Information Technology","Information Technology"
"KAJARIACER","NSE","Consumer Durables","Consumer Durables"
"KPIL","NSE","Construction","Construction"
"KALYANKJIL","NSE","Consumer Durables","Consumer Durables"
"KARURVYSYA","NSE","Financial Services","Financial Services"
"KAYNES","NSE","Capital Goods","Capital Goods"
"KEC","NSE","Construction","Construction"
"KFINTECH","NSE","Financial Services","Financial Services"
"KIRLOSENG","NSE","Capital Goods","Capital Goods"
"KOTAKBANK","NSE","Financial Services","Financial Services"
"KIMS","NSE","Healthcare","Healthcare"
"LTF","NSE","Financial Services","Financial Services"
"LTTS","NSE","Information Technology","Information Technology"
"LGEINDIA","NSE","Consumer Durables","Consumer Durables"
"LICHSGFIN","NSE","Financial Services","Financial Services"
"LTFOODS","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"LTM","NSE","Information Technology","Information Technology"
"LT","NSE","Construction","Construction"
"LATENTVIEW","NSE","Information Technology","Information Technology"
"LAURUSLABS","NSE","Healthcare","Healthcare"
"THELEELA","NSE","Consumer Services","Consumer Services"
"LEMONTREE","NSE","Consumer Services","Consumer Services"
"LENSKART","NSE","Consumer Services","Consumer Services"
"LICI","NSE","Financial Services","Financial Services"
"LINDEINDIA","NSE","Chemicals","Chemicals"
"LLOYDSME","NSE","Metals & Mining","Metals & Mining"
"LODHA","NSE","Realty","Realty"
"LUPIN","NSE","Healthcare","Healthcare"
"MMTC","NSE","Services","Services"
"MRF","NSE","Automobile and Auto Components","Automobile and Auto Components"
"MGL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"M&MFIN","NSE","Financial Services","Financial Services"
"M&M","NSE","Automobile and Auto Components","Automobile and Auto Components"
"MANAPPURAM","NSE","Financial Services","Financial Services"
"MRPL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"MANKIND","NSE","Healthcare","Healthcare"
"MARICO","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"MARUTI","NSE","Automobile and Auto Components","Automobile and Auto Components"
"MFSL","NSE","Financial Services","Financial Services"
"MAXHEALTH","NSE","Healthcare","Healthcare"
"MAZDOCK","NSE","Capital Goods","Capital Goods"
"MEESHO","NSE","Consumer Services","Consumer Services"
"MINDACORP","NSE","Automobile and Auto Components","Automobile and Auto Components"
"MSUMI","NSE","Automobile and Auto Components","Automobile and Auto Components"
"MOTILALOFS","NSE","Financial Services","Financial Services"
"MPHASIS","NSE","Information Technology","Information Technology"
"MCX","NSE","Financial Services","Financial Services"
"MUTHOOTFIN","NSE","Financial Services","Financial Services"
"NATCOPHARM","NSE","Healthcare","Healthcare"
"NBCC","NSE","Construction","Construction"
"NCC","NSE","Construction","Construction"
"NHPC","NSE","Power","Power"
"NLCINDIA","NSE","Power","Power"
"NMDC","NSE","Metals & Mining","Metals & Mining"
"NSLNISP","NSE","Metals & Mining","Metals & Mining"
"NTPCGREEN","NSE","Power","Power"
"NTPC","NSE","Power","Power"
"NH","NSE","Healthcare","Healthcare"
"NATIONALUM","NSE","Metals & Mining","Metals & Mining"
"NAVA","NSE","Power","Power"
"NAVINFLUOR","NSE","Chemicals","Chemicals"
"NESTLEIND","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"NETWEB","NSE","Information Technology","Information Technology"
"NEULANDLAB","NSE","Healthcare","Healthcare"
"NEWGEN","NSE","Information Technology","Information Technology"
"NAM-INDIA","NSE","Financial Services","Financial Services"
"NIVABUPA","NSE","Financial Services","Financial Services"
"NUVAMA","NSE","Financial Services","Financial Services"
"NUVOCO","NSE","Construction Materials","Construction Materials"
"OBEROIRLTY","NSE","Realty","Realty"
"ONGC","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"OIL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"OLAELEC","NSE","Automobile and Auto Components","Automobile and Auto Components"
"OLECTRA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"PAYTM","NSE","Financial Services","Financial Services"
"ONESOURCE","NSE","Healthcare","Healthcare"
"OFSS","NSE","Information Technology","Information Technology"
"POLICYBZR","NSE","Financial Services","Financial Services"
"PCBL","NSE","Chemicals","Chemicals"
"PGEL","NSE","Consumer Durables","Consumer Durables"
"PIIND","NSE","Chemicals","Chemicals"
"PNBHOUSING","NSE","Financial Services","Financial Services"
"PTCIL","NSE","Capital Goods","Capital Goods"
"PVRINOX","NSE","Media Entertainment & Publication","Media Entertainment & Publication"
"PAGEIND","NSE","Textiles","Textiles"
"PARADEEP","NSE","Chemicals","Chemicals"
"PATANJALI","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"PERSISTENT","NSE","Information Technology","Information Technology"
"PETRONET","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"PFIZER","NSE","Healthcare","Healthcare"
"PHOENIXLTD","NSE","Realty","Realty"
"PWL","NSE","Consumer Services","Consumer Services"
"PIDILITIND","NSE","Chemicals","Chemicals"
"PINELABS","NSE","Financial Services","Financial Services"
"PIRAMALFIN","NSE","Financial Services","Financial Services"
"PPLPHARMA","NSE","Healthcare","Healthcare"
"POLYMED","NSE","Healthcare","Healthcare"
"POLYCAB","NSE","Capital Goods","Capital Goods"
"POONAWALLA","NSE","Financial Services","Financial Services"
"PFC","NSE","Financial Services","Financial Services"
"POWERGRID","NSE","Power","Power"
"PREMIERENE","NSE","Capital Goods","Capital Goods"
"PRESTIGE","NSE","Realty","Realty"
"PNB","NSE","Financial Services","Financial Services"
"RRKABEL","NSE","Capital Goods","Capital Goods"
"RBLBANK","NSE","Financial Services","Financial Services"
"RECLTD","NSE","Financial Services","Financial Services"
"RHIM","NSE","Capital Goods","Capital Goods"
"RITES","NSE","Construction","Construction"
"RADICO","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"RVNL","NSE","Construction","Construction"
"RAILTEL","NSE","Telecommunication","Telecommunication"
"RAINBOW","NSE","Healthcare","Healthcare"
"RKFORGE","NSE","Automobile and Auto Components","Automobile and Auto Components"
"REDINGTON","NSE","Services","Services"
"RELIANCE","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"RPOWER","NSE","Power","Power"
"SBFC","NSE","Financial Services","Financial Services"
"SBICARD","NSE","Financial Services","Financial Services"
"SBILIFE","NSE","Financial Services","Financial Services"
"SJVN","NSE","Power","Power"
"SRF","NSE","Chemicals","Chemicals"
"SAGILITY","NSE","Information Technology","Information Technology"
"SAILIFE","NSE","Healthcare","Healthcare"
"SAMMAANCAP","NSE","Financial Services","Financial Services"
"MOTHERSON","NSE","Automobile and Auto Components","Automobile and Auto Components"
"SAPPHIRE","NSE","Consumer Services","Consumer Services"
"SARDAEN","NSE","Metals & Mining","Metals & Mining"
"SAREGAMA","NSE","Media Entertainment & Publication","Media Entertainment & Publication"
"SCHAEFFLER","NSE","Automobile and Auto Components","Automobile and Auto Components"
"SCHNEIDER","NSE","Capital Goods","Capital Goods"
"SCI","NSE","Services","Services"
"SHREECEM","NSE","Construction Materials","Construction Materials"
"SHRIRAMFIN","NSE","Financial Services","Financial Services"
"SHYAMMETL","NSE","Capital Goods","Capital Goods"
"ENRIN","NSE","Capital Goods","Capital Goods"
"SIEMENS","NSE","Capital Goods","Capital Goods"
"SIGNATURE","NSE","Realty","Realty"
"SOBHA","NSE","Realty","Realty"
"SOLARINDS","NSE","Chemicals","Chemicals"
"SONACOMS","NSE","Automobile and Auto Components","Automobile and Auto Components"
"SONATSOFTW","NSE","Information Technology","Information Technology"
"STARHEALTH","NSE","Financial Services","Financial Services"
"SBIN","NSE","Financial Services","Financial Services"
"SAIL","NSE","Metals & Mining","Metals & Mining"
"SUMICHEM","NSE","Chemicals","Chemicals"
"SUNPHARMA","NSE","Healthcare","Healthcare"
"SUNTV","NSE","Media Entertainment & Publication","Media Entertainment & Publication"
"SUNDARMFIN","NSE","Financial Services","Financial Services"
"SUPREMEIND","NSE","Capital Goods","Capital Goods"
"SPLPETRO","NSE","Chemicals","Chemicals"
"SUZLON","NSE","Capital Goods","Capital Goods"
"SWANCORP","NSE","Chemicals","Chemicals"
"SWIGGY","NSE","Consumer Services","Consumer Services"
"SYNGENE","NSE","Healthcare","Healthcare"
"SYRMA","NSE","Capital Goods","Capital Goods"
"TBOTEK","NSE","Consumer Services","Consumer Services"
"TVSMOTOR","NSE","Automobile and Auto Components","Automobile and Auto Components"
"TATACAP","NSE","Financial Services","Financial Services"
"TATACHEM","NSE","Chemicals","Chemicals"
"TATACOMM","NSE","Telecommunication","Telecommunication"
"TCS","NSE","Information Technology","Information Technology"
"TATACONSUM","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"TATAELXSI","NSE","Information Technology","Information Technology"
"TATAINVEST","NSE","Financial Services","Financial Services"
"TMCV","NSE","Capital Goods","Capital Goods"
"TMPV","NSE","Automobile and Auto Components","Automobile and Auto Components"
"TATAPOWER","NSE","Power","Power"
"TATASTEEL","NSE","Metals & Mining","Metals & Mining"
"TATATECH","NSE","Information Technology","Information Technology"
"TTML","NSE","Telecommunication","Telecommunication"
"TECHM","NSE","Information Technology","Information Technology"
"TECHNOE","NSE","Construction","Construction"
"TEGA","NSE","Capital Goods","Capital Goods"
"TEJASNET","NSE","Telecommunication","Telecommunication"
"TENNIND","NSE","Automobile and Auto Components","Automobile and Auto Components"
"NIACL","NSE","Financial Services","Financial Services"
"RAMCOCEM","NSE","Construction Materials","Construction Materials"
"THERMAX","NSE","Capital Goods","Capital Goods"
"TIMKEN","NSE","Capital Goods","Capital Goods"
"TITAGARH","NSE","Capital Goods","Capital Goods"
"TITAN","NSE","Consumer Durables","Consumer Durables"
"TORNTPHARM","NSE","Healthcare","Healthcare"
"TORNTPOWER","NSE","Power","Power"
"TARIL","NSE","Capital Goods","Capital Goods"
"TRAVELFOOD","NSE","Consumer Services","Consumer Services"
"TRENT","NSE","Consumer Services","Consumer Services"
"TRIDENT","NSE","Textiles","Textiles"
"TRITURBINE","NSE","Capital Goods","Capital Goods"
"TIINDIA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"UCOBANK","NSE","Financial Services","Financial Services"
"UNOMINDA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"UPL","NSE","Chemicals","Chemicals"
"UTIAMC","NSE","Financial Services","Financial Services"
"ULTRACEMCO","NSE","Construction Materials","Construction Materials"
"UNIONBANK","NSE","Financial Services","Financial Services"
"UBL","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"UNITDSPR","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"URBANCO","NSE","Consumer Services","Consumer Services"
"USHAMART","NSE","Capital Goods","Capital Goods"
"VTL","NSE","Textiles","Textiles"
"VBL","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"VEDL","NSE","Metals & Mining","Metals & Mining"
"VIJAYA","NSE","Healthcare","Healthcare"
"VMM","NSE","Consumer Services","Consumer Services"
"IDEA","NSE","Telecommunication","Telecommunication"
"VOLTAS","NSE","Consumer Durables","Consumer Durables"
"WAAREEENER","NSE","Capital Goods","Capital Goods"
"WELCORP","NSE","Capital Goods","Capital Goods"
"WELSPUNLIV","NSE","Textiles","Textiles"
"WHIRLPOOL","NSE","Consumer Durables","Consumer Durables"
"WIPRO","NSE","Information Technology","Information Technology"
"WOCKPHARMA","NSE","Healthcare","Healthcare"
"YESBANK","NSE","Financial Services","Financial Services"
"ZFCVINDIA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ZEEL","NSE","Media Entertainment & Publication","Media Entertainment & Publication"
"ZENTEC","NSE","Capital Goods","Capital Goods"
"ZENSARTECH","NSE","Information Technology","Information Technology"
"ZYDUSLIFE","NSE","Healthcare","Healthcare"
"ZYDUSWELL","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"ECLERX","NSE","Services","Services"
